i,object_id,sdss_name,z,log_lbol,log_lbol_err,log_tau_rest,log_tau_rest_err,log_sigma,log_sigma_err,log_jitter,magerrs_mean
37,1440529,001417.64-010229.4,3.1603833606138063,46.5456270353483,0.0079511095708539,1.9391786102148143,0.7269850435884934,[-1.56027061 -0.92099627 -1.69124831],[0.64462328 0.87457948 0.92572703],[-14.38401237 -16.92580306 -16.53753329],[0.13754032 0.09555284 0.06880178]
38,1440533,001417.20-005151.6,1.4574620896006505,45.40984656728144,0.0207641653275914,8.107274190299968,3.948936842148906,[-35.49017405  33.63828371  29.47460866],[6.81540132 9.71058436 8.47436684],[ -1.25280718 -13.03588982 -14.67157274],[0.19484832 0.18188096 0.15152736]
39,1440537,001416.27-002357.7,0.982639000981896,45.74249509105736,0.0072462704764113,2.163126193201466,0.6117648729396182,[-1.07852073 -1.08632758 -1.09081721],[0.41894525 0.58723427 0.59930288],[ -1.97802507 -12.29229253 -13.12220045],[0.04441802 0.03898002 0.0447256 ]
40,1440538,001416.25-011355.9,2.083935232930166,46.11303874271406,0.0206734658614777,2.4507312801969032,0.5735227361668571,[-0.80547727 -0.89277623 -1.02846977],[0.25825712 0.30341087 0.31527293],[ -2.78753971 -13.18400309 -15.08368597],[0.08611672 0.07646539 0.0659757 ]
41,1440543,001415.64+004225.0,1.9785912146161235,45.65933137543115,0.0280796906859208,1.6482945298687297,1.908717759964906,[-2.17050911 -2.1476042  -2.14837245],[1.29833343 1.54712801 1.52559977],[ -8.98544644 -15.62107865 -16.81699798],[0.15741081 0.1244578  0.13350914]
42,1440552,001412.94-002102.6,3.1619980711511264,46.42375132040087,0.0102519662816185,2.419286011054437,0.7490438954732348,[-1.33120007 -0.75833531 -0.86209668],[0.53284377 0.69325276 0.68763095],[-14.92499218 -14.71287159 -14.92467654],[0.09309051 0.06963816 0.06326295]
43,1440556,001412.36-010557.1,0.7282814402123536,45.32011673329388,0.0049300398466662,2.1581692833988075,0.6133003866283043,[-1.18554202 -1.30473694 -0.66919622],[0.42779218 0.66958334 0.59600211],[ -9.23363074 -11.13026991  -8.63829175],[0.06834881 0.07371855 0.07166764]
44,1440557,001412.02-005228.9,1.9652573434298632,45.15160537942989,0.0764039027206564,1.934736169823448,2.118193550948106,[-5.94049727 -3.39232568 -2.30101571],[1.47551006 1.7125167  1.71474886],[ -8.51137936 -17.31783614  -1.96145142],[0.20838225 0.16768067 0.18345206]
45,1440558,001411.77+002739.7,1.5337423201736673,45.6398821337791,0.0103411167913947,1.8372316661017944,0.4830707104644118,[-0.44252812 -0.76646623 -0.87868984],[0.21879482 0.28155224 0.31382536],[-16.39720915 -10.84520143  -6.93711048],[0.14577469 0.12074247 0.12562152]
46,1440559,001411.74-005338.0,2.042799103257459,45.96699128078672,0.010557221670453,1.4712551069059303,1.573697078533989,[-2.51465083 -1.88123147 -1.41610474],[1.11858273 1.3422382  1.34890275],[-233.93086046  -11.47019624 -153.75682925],[0.14401404 0.13110476 0.11078431]
47,1440566,001410.15+005428.7,1.3658855622141823,45.21697852956292,0.0177575590380882,0.3788022307390896,1.341624205578933,[-1.18037443 -0.80372921 -0.6177949 ],[0.50104477 0.72217785 0.71603655],[ -4.8464512  -14.19388853  -7.29319508],[0.19968695 0.17560825 0.17085364]
48,1440579,001406.98-000555.8,1.5310924653362687,45.19180645619956,0.0417511732931394,0.1438192252644775,1.8941331589753847,[-37.84357352 -37.83806349  -1.74610151],[1.31793057 1.59225106 1.56714849],[-16.44306225 -15.69865207 -10.7431046 ],[0.20630432 0.19135692 0.17011451]
49,1440581,001406.51-010759.7,1.159681949690134,45.95766690239214,0.0020991071482932,2.1934343859326457,0.553499235795172,[-0.8998024  -1.03343962 -1.08534088],[0.21613772 0.25009292 0.28250538],[ -8.52397399 -17.32545042  -7.10409423],[0.06284122 0.04182605 0.04839453]
50,1440585,001405.51-011036.7,2.0016832795298627,45.80523933654231,0.0180407210750139,2.744580113747145,0.7332868057838449,[-0.75424327 -0.66199668 -0.38213035],[0.34414334 0.4201463  0.43708915],[-11.27628038 -62.64216261  -7.39386747],[0.22123029 0.1851715  0.132421  ]
